Participant,C,P,Piece,Condition,Moving,Dynamic,Alive,Metallic,Spiky,Travelling,Mechanical,Moist,Chaotic,Threatening,Warping,Chronological,Aggressive,Unfinished,Near,Textured,Engulfing,Static,Violent,Detailed,Hollow,Scratching,Light,Expanding
13,2,G,Plate,Object,1,26,1,43,1,73,42,1,50,2,1,0,0,1,52,1,1,55,1,93,0,1,37,36
13,2,J,Smooth,Combo,1,6,0,0,0,0,0,71,0,1,1,1,0,16,16,48,1,97,0,0,1,0,2,4
13,2,P,Rough,Object,2,49,12,44,44,2,17,65,65,33,7,1,2,17,2,81,18,87,10,58,8,7,8,10
14,4,B,Tree,Object,11,29,45,1,14,15,29,37,30,1,15,24,1,35,28,49,30,80,2,35,27,66,50,38
14,4,F,Plate,Combo,30,68,77,50,33,99,57,30,2,4,27,62,1,1,35,56,28,50,0,95,29,42,100,71
14,4,J,Smooth,Combo,2,23,99,0,1,83,61,31,1,27,30,55,2,1,66,51,24,57,54,5,32,58,52,47
14,4,P,Rough,Object,1,18,2,1,53,2,2,52,98,21,12,1,54,98,41,63,8,96,64,99,59,95,52,40
15,4,B,Tree,Object,4,12,37,1,60,14,0,74,58,68,7,12,22,50,31,72,28,80,27,65,3,52,7,35
15,4,F,Plate,Combo,32,56,17,73,12,54,64,3,77,31,55,23,9,14,59,28,86,35,18,99,14,97,6,7
15,4,J,Smooth,Combo,66,61,83,2,3,68,61,63,5,4,50,64,10,10,88,87,100,17,2,38,7,58,66,12
15,4,P,Rough,Object,1,1,2,65,80,1,5,27,74,78,76,7,69,97,15,57,5,91,86,27,4,14,10,24
16,4,B,Tree,Object,2,1,69,1,4,5,4,4,47,3,4,39,3,25,99,98,38,98,37,18,3,29,18,14
16,4,F,Plate,Combo,5,35,58,28,8,70,57,5,65,28,12,45,21,14,38,8,46,23,7,41,24,66,56,39
16,4,J,Smooth,Combo,23,49,22,8,8,8,50,77,13,25,38,11,11,57,85,35,17,4,4,5,5,39,8,9
16,4,P,Rough,Object,4,47,18,5,52,6,8,73,87,15,12,29,93,46,92,59,82,74,76,16,10,48,28,55
17,6,B,Tree,Object,0,0,0,0,0,0,0,0,0,0,0,0,0,79,10,53,0,100,0,19,0,19,19,0
17,6,G,Plate,Object,0,13,0,100,0,0,13,0,0,0,8,0,0,62,100,21,14,100,0,100,0,12,0,39
17,6,J,Smooth,Combo,0,11,5,0,0,0,12,48,12,20,20,0,18,100,0,39,0,100,0,0,0,0,0,0
17,6,M,Rough,Combo,0,19,6,20,20,0,35,24,12,12,12,0,6,84,100,100,21,100,9,9,0,21,0,0
18,6,B,Tree,Object,6,9,51,4,4,4,4,4,5,5,6,5,6,37,6,71,3,4,5,13,3,15,16,7
18,6,G,Plate,Object,5,23,7,7,7,24,8,98,35,9,10,10,9,6,6,5,5,15,6,52,6,31,30,23
18,6,J,Smooth,Combo,6,31,33,7,8,8,35,17,4,4,5,6,7,30,8,18,7,21,6,6,6,5,5,6
18,6,M,Rough,Combo,11,48,24,25,26,18,27,20,9,8,7,6,5,14,5,29,5,12,4,8,3,5,4,5
19,6,B,Tree,Object,6,12,5,4,28,2,2,58,2,2,12,25,3,62,65,84,14,13,6,56,4,57,21,34
19,6,G,Plate,Object,20,20,1,15,0,16,2,1,73,4,27,4,4,4,11,6,52,8,4,90,37,16,6,12
19,6,J,Smooth,Combo,8,13,23,4,8,8,31,49,16,9,29,7,7,79,79,7,8,10,10,11,8,3,11,21
19,6,M,Rough,Combo,10,10,26,13,47,7,38,56,84,38,20,10,6,65,77,83,23,12,40,37,12,62,9,7
20,6,B,Tree,Object,14,33,33,1,2,2,2,32,35,35,18,9,7,50,49,87,66,7,15,31,3,5,32,5
20,6,G,Plate,Object,48,69,54,94,1,71,2,2,2,2,3,25,1,3,64,62,36,93,1,65,50,26,75,73
20,6,J,Smooth,Combo,6,62,69,2,1,29,1,62,31,2,1,33,2,66,74,76,25,7,0,0,1,1,0,57
20,6,M,Rough,Combo,24,66,46,2,75,55,54,95,24,40,39,37,1,37,10,80,61,67,47,48,11,19,3,2
21,6,B,Tree,Object,3,8,3,2,9,5,4,14,9,21,16,8,23,41,25,35,8,4,29,12,6,3,3,22
21,6,G,Plate,Object,7,30,3,12,4,1,15,2,8,16,31,4,6,25,1,49,21,15,14,30,7,5,26,18
21,6,J,Smooth,Combo,3,6,38,3,4,29,3,38,17,67,57,6,63,62,43,19,30,60,36,3,15,35,18,44
21,6,M,Rough,Combo,2,35,67,12,79,8,50,58,95,95,84,5,90,73,39,59,43,77,93,75,19,64,12,41
22,6,B,Tree,Object,4,4,4,3,15,2,3,3,8,15,10,5,10,24,86,91,22,85,30,7,4,15,27,6
22,6,G,Plate,Object,8,16,3,4,3,6,3,3,19,4,8,11,5,22,41,27,9,57,5,90,9,3,39,51
22,6,J,Smooth,Combo,5,23,27,7,4,8,24,5,12,4,24,9,5,17,37,73,21,30,9,18,6,12,53,9
22,6,M,Rough,Combo,7,9,5,9,13,4,27,11,38,6,3,4,10,21,31,67,11,8,19,52,11,10,7,9
23,6,B,Tree,Object,0,33,0,0,0,0,0,0,0,0,15,0,0,68,0,84,0,100,0,0,0,46,0,2
23,6,G,Plate,Object,0,32,0,49,0,1,19,0,58,0,0,22,1,44,0,39,0,100,0,71,54,46,69,0
23,6,J,Smooth,Combo,0,24,0,0,1,0,0,26,0,2,1,1,1,33,57,78,0,89,10,19,0,33,0,0
23,6,M,Rough,Combo,3,44,56,65,65,1,70,21,49,65,13,0,29,62,0,74,2,45,50,6,1,34,0,1
24,5,B,Tree,Object,4,6,20,2,2,2,3,7,33,3,7,2,1,55,74,97,2,97,2,14,0,1,2,5
24,5,F,Plate,Combo,7,9,2,26,1,34,13,1,14,6,0,24,1,6,1,16,2,76,0,98,3,2,9,0
24,5,M,Rough,Combo,1,6,6,0,22,1,32,81,99,68,2,10,46,61,83,100,1,97,59,83,0,17,0,12
24,5,N,Smooth,Object,1,0,1,1,0,4,0,62,0,11,0,1,12,48,98,98,3,31,1,15,0,2,1,0
25,5,B,Tree,Object,10,3,3,3,5,3,5,5,31,12,4,5,6,80,64,78,24,96,13,38,4,24,11,5
25,5,F,Plate,Combo,4,4,6,6,5,22,9,5,5,4,4,3,4,34,58,8,6,98,4,98,8,6,64,6
25,5,M,Rough,Combo,4,15,40,50,65,24,66,36,84,30,45,4,24,54,72,84,25,98,46,46,3,20,12,3
25,5,N,Smooth,Object,3,11,3,4,4,4,4,43,5,3,4,4,4,98,61,72,11,98,8,20,3,3,3,5
26,5,B,Tree,Object,9,14,20,0,0,0,0,4,0,0,0,1,0,40,4,69,13,46,4,6,4,10,15,22
26,5,F,Plate,Combo,40,40,53,64,24,70,46,6,38,7,49,8,17,4,21,63,38,45,15,88,11,66,48,77
26,5,M,Rough,Combo,30,36,62,40,71,15,37,33,70,74,52,40,56,30,41,61,45,31,62,67,19,41,18,49
26,5,N,Smooth,Object,2,15,24,18,3,4,4,15,1,1,11,1,12,31,9,28,13,78,9,13,30,16,21,24
27,5,B,Tree,Object,1,11,63,13,,11,11,10,0,0,9,50,78,49,50,8,0,0,10,1,0,1,1,0
27,5,F,Plate,Combo,0,14,1,0,0,15,4,0,66,48,13,12,10,41,7,6,7,6,8,85,5,5,3,28
27,5,M,Rough,Combo,10,50,48,61,14,2,66,23,80,80,79,23,83,82,43,66,57,79,80,80,12,17,15,33
27,5,N,Smooth,Object,0,2,15,0,0,0,1,43,10,0,72,0,0,79,43,49,1,2,1,9,0,1,2,1
28,5,B,Tree,Object,,8,2,2,11,2,2,2,2,2,11,66,1,70,76,77,11,0,1,21,1,20,1,4
28,5,F,Plate,Combo,3,49,4,89,4,4,78,3,45,4,3,3,3,20,7,1,17,94,4,91,5,6,62,70
28,5,M,Rough,Combo,4,15,3,4,18,2,27,3,91,35,57,3,59,85,42,70,10,95,76,6,8,27,11,10
28,5,N,Smooth,Object,5,,1,3,3,4,4,24,6,3,26,3,4,90,20,53,19,97,1,4,5,5,5,40
29,5,B,Tree,Object,6,6,1,1,2,1,1,1,1,1,2,2,2,31,4,62,38,97,1,1,1,14,1,5
29,5,F,Plate,Combo,21,0,1,1,2,40,11,1,38,0,1,1,1,1,2,12,14,1,0,99,21,1,28,73
29,5,M,Rough,Combo,0,0,89,70,92,61,80,80,79,91,89,88,86,91,58,98,97,65,90,89,1,89,2,65
29,5,N,Smooth,Object,2,4,34,1,1,1,1,82,0,1,57,0,1,99,0,54,39,98,1,1,1,1,1,31
30,3,A,Tree,Combo,12,29,19,1,2,3,21,3,2,2,28,2,3,72,37,62,33,85,5,5,4,41,32,12
30,3,G,Plate,Object,21,31,9,43,4,40,3,4,34,3,4,6,4,4,6,27,4,20,2,36,3,23,27,3
30,3,M,Rough,Combo,13,12,26,15,20,4,26,24,29,24,33,14,1,9,30,49,43,12,15,24,1,21,1,26
30,3,N,Smooth,Object,1,2,1,1,1,3,1,15,0,0,0,2,11,20,31,21,1,32,1,0,0,0,0,2
31,3,A,Tree,Combo,12,10,2,12,2,1,1,1,2,1,1,50,5,40,20,29,2,94,2,15,19,52,64,35
31,3,G,Plate,Object,12,28,32,21,1,58,48,11,66,24,14,9,8,63,64,62,59,57,15,76,20,17,68,74
31,3,M,Rough,Combo,3,4,29,6,46,10,9,26,49,53,39,32,15,39,33,45,87,32,50,41,10,69,25,12
